State;Location;Date Posted;Date Collected;Sample Type;Unit;Ba-140;Co-60;Cs-134;Cs-136;Cs-137;I-131;I-132;I-133;Te-129;Te-129m;Te-132
NC;Charlotte;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
NC;Charlotte;1303430400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Chattanooga;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;1.6;;;;;
TN;Chattanooga;1306886400000000000;1302825600000000000;Drinking Water;pCi/l;;;;;;;;;;;
OH;Cincinnati;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;0.13;;;;;
OH;Cincinnati;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
PA;Columbia;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;0.2;;;;;
SC;Columbia;1302220800000000000;1301443200000000000;Drinking Water;pCi/l;;;;;;;;;;;
PA;Columbia;1303430400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
SC;Columbia;1306886400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
OH;Columbus;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
OH;Columbus;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;0.2;;;;;
NH;Concord;1302825600000000000;1302134400000000000;Drinking Water;pCi/l;;;;;;;;;;;
NH;Concord;1303257600000000000;1302566400000000000;Drinking Water;pCi/l;;;;;;;;;;;
NH;Concord;1306886400000000000;1303084800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NH;Concord;1306886400000000000;1303689600000000000;Drinking Water;pCi/l;;;;;;;;;;;
NH;Concord ;1302825600000000000;1302134400000000000;Drinking Water;pCi/l;;;;;;;;;;;
MD;Conowingo;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MD;Conowingo;1306886400000000000;1303171200000000000;Drinking Water;pCi/l;;;;;;;;;;;
CO;Denver;1302220800000000000;1301443200000000000;Drinking Water;pCi/l;;;;;;0.17;;;;;
CO;Denver;1303430400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MI;Detroit;1302220800000000000;1301529600000000000;Drinking Water;pCi/l;;;;;;0.28;;;;;
MI;Detroit;1306886400000000000;1303862400000000000;Drinking Water;pCi/l;;;;;;;;;;;
AL;Dothan;1302393600000000000;1301875200000000000;Drinking Water;pCi/l;;;;;;;;;;;
AL;Dothan;1306886400000000000;1304035200000000000;Drinking Water;pCi/l;;;;;;;;;;;
DE;Dover;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
DE;Dover;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;4.1;;;;;;
OH;East Liverpool;1302220800000000000;1301443200000000000;Drinking Water;pCi/l;;;;;;0.42;;;;;
OH;East Liverpool;1306886400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;0.14;;;;;
AK;Fairbanks;1301875200000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
AK;Fairbanks;1303430400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MI;Grand Rapids;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MI;Grand Rapids;1306886400000000000;1303344000000000000;Drinking Water;pCi/l;;;;;;;;;;;
PA;Harrisburg;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
PA;Harrisburg;1306886400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;0.13;;;;;
CT;Hartford;1302652800000000000;1302048000000000000;Drinking Water;pCi/l;;;;;;;;;;;
CT;Hartford;1306886400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
MT;Helena;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;0.18;;;;;
MT;Helena;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
HI;Honolulu;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
HI;Honolulu ;1306886400000000000;1303171200000000000;Drinking Water;pCi/l;;;;;;;;;;;
ID;Idaho Falls;1301875200000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
ID;Idaho Falls;1306886400000000000;1302825600000000000;Drinking Water;pCi/l;;;;;;;;;;;
MS;Jackson;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MS;Jackson;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MO;Jefferson City;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
MO;Jefferson City;1303344000000000000;1302566400000000000;Drinking Water;pCi/l;;;;;;;;;;;
SC;Jenkinsville;1302220800000000000;1301443200000000000;Drinking Water;pCi/l;;;;;;;;;;;
SC;Jenkinsville;1303430400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Knoxville;1302652800000000000;1301961600000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Knoxville;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NV;Las Vegas;1302220800000000000;1301443200000000000;Drinking Water;pCi/l;;;;;;;;;;;
NV;Las Vegas;1306886400000000000;1302825600000000000;Drinking Water;pCi/l;;;;;;;;;;;
NE;Lincoln;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NE;Lincoln;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
AR;Little Rock;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
AR;Little Rock;1303430400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
CA;Los Angeles;1302393600000000000;1301875200000000000;Drinking Water;pCi/l;;;;;;0.39;;;;;
CA;Los Angeles ;1306886400000000000;1302566400000000000;Drinking Water;pCi/l;;;;;;0.18;;;;;
VA;Lynchburg;1301875200000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
VA;Lynchburg;1301875200000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
VA;Lynchburg;1303257600000000000;1302480000000000000;Drinking Water;pCi/l;;;;;;;;;;;
WI;Madison;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
WI;Madison;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
FL;Miami;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
AL;Montgomery;1304380800000000000;1301616000000000000;Drinking Water;pCi/l;;;;;;;;;;;
AL;Montgomery;1306886400000000000;1302825600000000000;Drinking Water;pCi/l;;;;;;;;;;;
IL;Morris;1302307200000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
IL;Morris;1306886400000000000;1303171200000000000;Drinking Water;pCi/l;;;;;;;;;;;
AL;Muscle Shoals;1302220800000000000;1301529600000000000;Drinking Water;pCi/l;;;;;;0.16;;;;;
AL;Muscle Shoals;1306886400000000000;1303862400000000000;Drinking Water;pCi/l;;;;;;;;;;;
LA;New Orleans;1301875200000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
LA;New Orleans;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NY;New York;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NY;New York;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NY;Niagara Falls;1302220800000000000;1301529600000000000;Drinking Water;pCi/l;;;;;;0.14;;;;;
NY;Niagara Falls;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;0.1;;;;;
TN;Oak Ridge/360;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;0.18;;;;;
TN;Oak Ridge/360;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Oak Ridge/371;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;0.63;;;;;
TN;Oak Ridge/371;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Oak Ridge/4442;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;0.28;;;;;
TN;Oak Ridge/4442;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Oak Ridge/768;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Oak Ridge/768;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
TN;Oak Ridge/772;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;0.2;;;;;
TN;Oak Ridge/772;1306886400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
OK;Oklahoma City;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
OK;Oklahoma City;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
OH;Painesville;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;0.43;;;;;
OH;Painesville;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;0.22;;;;;
PA;Philadelphia/Baxter;1302307200000000000;1301875200000000000;Drinking Water;pCi/l;;;;;;0.46;;;;;
PA;Philadelphia/Baxter;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;0.36;;;;;
PA;Philadelphia/Belmont;1302307200000000000;1301875200000000000;Drinking Water;pCi/l;;;;;;1.3;;;;;
PA;Philadelphia/Belmont;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;1.9;;;;;
PA;Philadelphia/Queen;1302307200000000000;1301875200000000000;Drinking Water;pCi/l;;;;;;2.2;;;;;
PA ;Philadelphia/Queen;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;1.2;;;;;
PA;Pittsburgh;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;0.36;;;;;
PA;Pittsburgh;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
MS;Port Gibson;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MS;Port Gibson;1306886400000000000;1303171200000000000;Drinking Water;pCi/l;;;;;;;;;;;
OR;Portland;1301875200000000000;1301011200000000000;Drinking Water;pCi/l;;;;;;;;;;;
OR;Portland;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
RI;Providence;1302220800000000000;1301443200000000000;Drinking Water;pCi/l;;;;;;;;;;;
RI ;Providence;1306886400000000000;1302825600000000000;Drinking Water;pCi/l;;;;;;;;;;;
NC;Raleigh;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
WA;Richland;1301875200000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;0.23;;;;;
WA;Richland;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
CA;Richmond;1302307200000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
CA;Richmond;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NM;Santa Fe;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
NM;Santa Fe;1306886400000000000;1303084800000000000;Drinking Water;pCi/l;;;;;;;;;;;
GA;Savannah;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
GA;Savannah;1303344000000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
AL;Scottsboro;1302307200000000000;1301443200000000000;Drinking Water;pCi/l;;;5.6;;;;;;;;
AL;Scottsboro;1306886400000000000;1303948800000000000;Drinking Water;pCi/l;;;;;;;;;;;
WA;Seattle;1301875200000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
SC;Seneca;1302393600000000000;1301875200000000000;Drinking Water;pCi/l;;;;;;;;;;;
SC;Seneca;1306886400000000000;1303084800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MN;St. Paul;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;;;;;;
MN;St. Paul;1303430400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;0.16;;;;;
NY;Syracuse;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
NY;Syracuse;1306886400000000000;1302652800000000000;Drinking Water;pCi/l;;;;;;;;;;;
FL;Tampa;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
FL;Tampa;1306886400000000000;1303084800000000000;Drinking Water;pCi/l;;;;;;;;;;;
OH;Toledo;1302220800000000000;1301443200000000000;Drinking Water;pCi/l;;;;;;;;;;;
KS;Topeka;1302220800000000000;1301529600000000000;Drinking Water;pCi/l;;;;;;;;;;;
KS;Topeka;1303430400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;0.15;;;;;
NJ;Trenton;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;0.38;;;;;
IL;W. Chicago;1302825600000000000;1301961600000000000;Drinking Water;pCi/l;;;;;;;;;;;
NJ;Waretown;1302220800000000000;1301270400000000000;Drinking Water;pCi/l;;;;;;0.38;;;;;
NJ;Waretown;1306886400000000000;1303171200000000000;Drinking Water;pCi/l;;;;;;;;;;;
MN;Welch;1302220800000000000;1301356800000000000;Drinking Water;pCi/l;;;;;;;;;;;
MN;Welch;1306886400000000000;1302739200000000000;Drinking Water;pCi/l;;;;;;;;;;;
IL;West Chicago;1306886400000000000;1303862400000000000;Drinking Water;pCi/l;;;;;;;;;;;
NM;Albuquerque;1302048000000000000;1301356800000000000;Milk;pCi/l;;;;;;;;;;;
NM;Albuquerque;1302912000000000000;1302566400000000000;Milk;pCi/l;;;;;;;;;;;
TN;Athens;1302307200000000000;1301529600000000000;Milk;pCi/l;;;;;;;;;;;
TN;Athens;1303257600000000000;1302739200000000000;Milk;pCi/l;;;;;;;;;;;
MD;Baltimore;1302220800000000000;1301443200000000000;Milk;pCi/l;;;;;;;;;;;
MD;Baltimore;1303430400000000000;1302825600000000000;Milk;pCi/l;;;;;;;;;;;
NY;Buffalo;1302307200000000000;1301616000000000000;Milk;pCi/l;;;;;;;;;;;
NY;Buffalo;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
WV;Charleston;1302220800000000000;1301443200000000000;Milk;pCi/l;;;;;;;;;;;
WV;Charleston;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
OH;Cincinnati;1302307200000000000;1301270400000000000;Milk;pCi/l;;;;;;;;;;;
OH;Cincinnati;1302307200000000000;1301529600000000000;Milk;pCi/l;;;;;;;;;;;
OH;Cincinnati ;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
OH;Cleveland;1302307200000000000;1301270400000000000;Milk;pCi/l;;;;;;;;;;;
OH;Cleveland;1302307200000000000;1301529600000000000;Milk;pCi/l;;;;;;;;;;;
OH;Cleveland;1303257600000000000;1302739200000000000;Milk;pCi/l;;;;;;;;;;;
TX;Dallas;1302307200000000000;1301443200000000000;Milk;pCi/l;;;;;;;;;;;
TX;Dallas;1302912000000000000;1302566400000000000;Milk;pCi/l;;;;;;;;;;;
IA;Des Moines;1301702400000000000;1300665600000000000;Milk;pCi/l;;;;;;;;;;;
IA;Des Moines;1302048000000000000;1301356800000000000;Milk;pCi/l;;;;;;;;;;;
MI;Detroit;1302048000000000000;1301270400000000000;Milk;pCi/l;;;;;;;;;;;
DE;Dover;1302307200000000000;1301616000000000000;Milk;pCi/l;;;;;;;;;;;
MI;E. Lansing ;1303257600000000000;1302566400000000000;Milk;pCi/l;;;;;;;;;;;
CT;Hartford;1303689600000000000;1302566400000000000;Milk;pCi/l;;;;;;;;;;;
CT;Hartford;1303776000000000000;1303257600000000000;Milk;pCi/l;;;;;;;;;;;
HI;Hilo;1302393600000000000;1301875200000000000;Milk;pCi/l;;;24.0;;19.0;18.0;;;;;
HI;Hilo;1303257600000000000;1302652800000000000;Milk;pCi/l;;;11.0;;10.0;;;;;;
MO;Jefferson City;1302220800000000000;1301443200000000000;Milk;pCi/l;;;;;;;;;;;
MO;Jefferson City ;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;3.0;;;;;
TN;Knoxville;1302307200000000000;1301529600000000000;Milk;pCi/l;;;;;;;;;;;
TN;Knoxville;1303257600000000000;1302739200000000000;Milk;pCi/l;;;;;;;;;;;
NV;Las Vegas;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
AR;Little Rock;1302307200000000000;1301443200000000000;Milk;pCi/l;;;;;;8.9;;;;;
AR;Little Rock;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
CA;Los Angeles;1302048000000000000;1301270400000000000;Milk;pCi/l;;;;;;2.9;;;;;
CA;Los Angeles;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;4.0;;;;;
KY;Louisville;1302220800000000000;1301443200000000000;Milk;pCi/l;;;;;;;;;;;
KY;Louisville ;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
TN;Memphis;1302912000000000000;1302480000000000000;Milk;pCi/l;;;;;;4.0;;;;;
VT;Montpelier;1302220800000000000;1301443200000000000;Milk;pCi/l;;;;;1.9;;;;;;
CA;Oakland ;1303257600000000000;1302652800000000000;Milk;pCi/l;;;2.5;;;3.7;;;;;
AZ;Phoenix;1302048000000000000;1301270400000000000;Milk;pCi/l;;;;;;3.2;;;;;
AZ;Phoenix;1302307200000000000;1301356800000000000;Milk;pCi/l;;;;;;;;;;;
PA;Pittsburgh;1302307200000000000;1301529600000000000;Milk;pCi/l;;;;;;;;;;;
PA;Pittsburgh;1302912000000000000;1301961600000000000;Milk;pCi/l;;;;;;;;;;;
FL;Plant City;1302220800000000000;1301443200000000000;Milk;pCi/l;;;;;;;;;;;
FL;Plant City;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
OR;Portland;1302048000000000000;1301270400000000000;Milk;pCi/l;;;;;;;;;;;
OR;Portland;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
NV;Reno;1302652800000000000;1301529600000000000;Milk;pCi/l;;;;;;;;;;;
NV;Reno;1302393600000000000;1301875200000000000;Milk;pCi/l;;;;;;;;;;;
NV;Reno;1303689600000000000;1303084800000000000;Milk;pCi/l;;;;;;;;;;;
TX;San Antonio;1302220800000000000;1301443200000000000;Milk;pCi/l;;;;;;;;;;;
TX;San Antonio;1303776000000000000;1303171200000000000;Milk;pCi/l;;;;;;;;;;;
CA;San Francisco;1302048000000000000;1301270400000000000;Milk;pCi/l;;;;;;;;;;;
WA;Spokane;1301875200000000000;1300665600000000000;Milk;pCi/l;;;;;;;;;;;
WA;Spokane;1301702400000000000;1301011200000000000;Milk;pCi/l;;;;;;0.77;;;;;
WA;Spokane;1302912000000000000;1302566400000000000;Milk;pCi/l;;;;;;;;;;;
NY;Syracuse;1302220800000000000;1301356800000000000;Milk;pCi/l;;;;;;;;;;;
NY;Syracuse;1303257600000000000;1302652800000000000;Milk;pCi/l;;;;;;;;;;;
WA;Tacoma;1301875200000000000;1300924800000000000;Milk;pCi/l;;;;;;;;;;;
WA;Tacoma;1304380800000000000;1303603200000000000;Milk;pCi/l;;;;;;;;;;;
NJ;Trenton;1302307200000000000;1301529600000000000;Milk;pCi/l;;;;;;;;;;;
NJ;Trenton;1303430400000000000;1302825600000000000;Milk;pCi/l;;;;;;;;;;;
KS;Wichita;1302220800000000000;1301356800000000000;Milk;pCi/l;;;;;;;;;;;
KS;Wichita;1303257600000000000;1302566400000000000;Milk;pCi/l;;;;;;;;;;;
DE;Wilmington;1303689600000000000;1303084800000000000;Milk;pCi/l;;;;;;;;;;;
NY;Albany;1301875200000000000;1300233600000000000;Precipitation;pCi/l;;;;;;;;;;;
NY;Albany;1301875200000000000;1300838400000000000;Precipitation;pCi/l;;;;;;30.0;;;;;
NY;Albany;1303257600000000000;1302480000000000000;Precipitation;pCi/l;;;;;;3.9;;;;;
NY;Albany;1304380800000000000;1303171200000000000;Precipitation;pCi/l;;;;;;;;;;;
NY;Albany ;1302825600000000000;1301961600000000000;Precipitation;pCi/l;;;;;;22.0;;;;;
GA;Atlanta;1301875200000000000;1300320000000000000;Precipitation;pCi/l;;;;;;;;;;;
GA;Atlanta;1302825600000000000;1301529600000000000;Precipitation;pCi/l;;;;;;17.0;;;;;
TX;Austin;1303430400000000000;1302566400000000000;Precipitation;pCi/l;;;;;;;;;;;
ID;Boise;1301875200000000000;1300752000000000000;Precipitation;pCi/l;;;11.2;;11.6;242.0;;;;;
ID;Boise;1302220800000000000;1301184000000000000;Precipitation;pCi/l;;;42.0;;36.0;390.0;;;;;
MA;Boston;1301875200000000000;1300406400000000000;Precipitation;pCi/l;;;;;;;;;;;
MA;Boston;1302220800000000000;1300752000000000000;Precipitation;pCi/l;;;;;;92.0;;;;;
MA;Boston;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;;15.0;;;;;
MA;Boston;1302652800000000000;1301961600000000000;Precipitation;pCi/l;;;;;;20.0;;;;;
MA;Boston;1302825600000000000;1302048000000000000;Precipitation;pCi/l;;;;;;9.8;;;;;
MA;Boston;1304380800000000000;1303171200000000000;Precipitation;pCi/l;;;;;;;;;;;
MA;Boston;1304380800000000000;1303257600000000000;Precipitation;pCi/l;;;;;;7.2;;;;;
NC;Charlotte;1302652800000000000;1301356800000000000;Precipitation;pCi/l;;;;;;45.0;;;;;
NC;Charlotte;1302652800000000000;1301616000000000000;Precipitation;pCi/l;;;;;;15.0;;;;;
NC;Charlotte;1302652800000000000;1301961600000000000;Precipitation;pCi/l;;;;;;4.4;;;;;
NC;Charlotte;1303430400000000000;1302566400000000000;Precipitation;pCi/l;;;;;;2.8;;;;;
NC;Charlotte;1304380800000000000;1303171200000000000;Precipitation;pCi/l;;;;;;;;;;;
NH;Concord;1302652800000000000;1300924800000000000;Precipitation;pCi/l;;;;;;24.0;;;;;
NH;Concord;1302825600000000000;1301961600000000000;Precipitation;pCi/l;;;;;;47.0;;;;;
NH;Concord;1304380800000000000;1302739200000000000;Precipitation;pCi/l;;;;;;;;;;;
CO;Denver;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;;43.0;;;;;
Guam;Guam;1302825600000000000;1301443200000000000;Precipitation;pCi/l;;;;;;;;;;;
Guam;Guam;1302825600000000000;1301616000000000000;Precipitation;pCi/l;;;;;;;;;;;
Guam;Guam;1302825600000000000;1301702400000000000;Precipitation;pCi/l;;;;;;;;;;;
Guam;Guam;1304380800000000000;1303257600000000000;Precipitation;pCi/l;;;;;;;;;;;
PA;Harrisburg;1302825600000000000;1301529600000000000;Precipitation;pCi/l;;;;;;5.9;;;;;
CT;Hartford;1301875200000000000;1300406400000000000;Precipitation;pCi/l;;;;;;;;;;;
CT;Hartford;1301875200000000000;1300406400000000000;Precipitation;pCi/l;;;;;;;;;;;
CT;Hartford;1301875200000000000;1301011200000000000;Precipitation;pCi/l;;;;;;26.0;;;;;
CT;Hartford;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;;19.0;;;;;
CT;Hartford;1302825600000000000;1302220800000000000;Precipitation;pCi/l;;;;;;12.0;;;;;
HI;Honolulu;1302825600000000000;1302134400000000000;Precipitation;pCi/l;;;;;;2.2;;;;;
ID;Idaho Falls;1302825600000000000;1301616000000000000;Precipitation;pCi/l;;;;;;32.0;;;;;
FL;Jacksonville;1302652800000000000;1301529600000000000;Precipitation;pCi/l;;;1.4;;;150.0;;;;;
FL;Jacksonville;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;;22.0;;;;;
FL;Jacksonville;1302825600000000000;1302134400000000000;Precipitation;pCi/l;;;;;;;;;;;
KS;Kansas City;1301875200000000000;1300665600000000000;Precipitation;pCi/l;;;;;;;;;;;
KS;Kansas City;1302652800000000000;1301356800000000000;Precipitation;pCi/l;;;;;;200.0;;;;;
KS;Kansas City;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;;18.0;;;;;
KS;Kansas City;1304380800000000000;1303430400000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Knoxville;1302393600000000000;1301270400000000000;Precipitation;pCi/l;;;;;;3.1;;;;;
TN;Knoxville;1302652800000000000;1301616000000000000;Precipitation;pCi/l;;;;;;26.0;;;;;
TN;Knoxville;1302652800000000000;1301961600000000000;Precipitation;pCi/l;;;;;;;;;;;
MI;Lansing;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;1.2;21.0;;;;;
MI;Lansing;1304380800000000000;1303084800000000000;Precipitation;pCi/l;;;;;;;;;;;
AR;Little Rock;1302652800000000000;1301270400000000000;Precipitation;pCi/l;;;;;;44.0;;;;;
AR;Little Rock;1302825600000000000;1301961600000000000;Precipitation;pCi/l;;;;;;6.4;;;;;
AR;Little Rock;1303430400000000000;1302480000000000000;Precipitation;pCi/l;;;;;;;;;;;
AR;Little Rock;1304380800000000000;1303084800000000000;Precipitation;pCi/l;;;;;;;;;;;
AR;Little Rock;1304380800000000000;1303344000000000000;Precipitation;pCi/l;;;;;;;;;;;
VA;Lynchburg;1302652800000000000;1301616000000000000;Precipitation;pCi/l;;;;;;9.3;;;;;
AL;Montgomery;1301875200000000000;1300665600000000000;Precipitation;pCi/l;;;;;;;;;;;
AL;Montgomery;1301875200000000000;1300924800000000000;Precipitation;pCi/l;;;;;;16.7;;;;;
AL;Montgomery;1302220800000000000;1301443200000000000;Precipitation;pCi/l;;;;;;3.7;;;;;
AL;Montgomery ;1302652800000000000;1302048000000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Nashville;1302652800000000000;1300147200000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Nashville;1302652800000000000;1301270400000000000;Precipitation;pCi/l;;;;;;72.0;;;;;
TN;Nashville;1302652800000000000;1301529600000000000;Precipitation;pCi/l;;;;;;19.0;;;;;
TN;Nashville;1304380800000000000;1303171200000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Nashville ;1303257600000000000;1302048000000000000;Precipitation;pCi/l;;;;;;5.3;;;;;
TN;Oak Ridge/K-12;1301875200000000000;1300320000000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Oak Ridge/K-12;1301875200000000000;1300924800000000000;Precipitation;pCi/l;;;;;;17.7;;;;;
TN;Oak Ridge/K-25;1302652800000000000;1301529600000000000;Precipitation;pCi/l;;;;;1.2;19.0;;;;;
TN;Oak Ridge/K-25;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;;40.0;;;;;
TN;Oak Ridge/K-25;1302825600000000000;1302134400000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Oak Ridge/Melton;1301875200000000000;1300320000000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Oak Ridge/Melton;1301875200000000000;1300924800000000000;Precipitation;pCi/l;;;;;;18.3;;;;;
TN;Oak Ridge/Melton;1302393600000000000;1301270400000000000;Precipitation;pCi/l;;;1.3;;1.4;81.0;;;;;
TN;Oak Ridge/Melton;1302652800000000000;1301529600000000000;Precipitation;pCi/l;;;;;0.87;21.0;;;;;
TN;Oak Ridge/Melton;1302825600000000000;1302134400000000000;Precipitation;pCi/l;;;;;;3.7;;;;;
TN;Oak Ridge/Y-12;1301875200000000000;1300924800000000000;Precipitation;pCi/l;;;;;;13.4;;;;;
TN;Oak Ridge/Y-12;1302393600000000000;1301270400000000000;Precipitation;pCi/l;;;;;;;;;;;
TN;Oak Ridge/Y-12;1302652800000000000;1301875200000000000;Precipitation;pCi/l;;;;;2.1;54.0;;;;;
TN;Oak Ridge/Y-12;1302825600000000000;1302134400000000000;Precipitation;pCi/l;;;;;;2.1;;;;;
